1182	푸조 208 1.6 e-HDi 5D	한불모터스(주)	경유	1560	1090	자동6	18.8	-	1	102	1,400,122
1181	푸조 208 1.6 e-HDi 3D	한불모터스(주)	경유	1560	1090	자동6	18.8	-	1	102	1,400,122
1180	BMW 1 Series Urban	BMW코리아㈜	경유	1995	1345	자동8	18.7	-	1	102	1,407,610
1179	BMW 1 Series Sport	BMW코리아㈜	경유	1995	1365	자동8	18.5	-	1	103	1,422,827
1178	푸조 308 1.6 e-HDi	한불모터스(주)	경유	1560	1350	자동6	18.4	-	1	104	1,430,560
1177	Polo 1.6 TDI	아우디폭스바겐코리아(주)	경유	1598	1225	자동7	18.3	-	1	104	1,438,377
1176	코란도C 2.0DI CDPF 4WD 수동 6단 ECO	쌍용자동차㈜	경유	1998	1720	수동6	18.3	-	1	147	1,438,377
1175	프라이드 1.6GDI(5DR)	기아자동차㈜	휘발유	1591	1070	수동6	18.2	-	1	129	1,590,272
1174	엑센트 1.6GDI	현대자동차㈜	휘발유	1591	1055	수동6	18.2	-	1	128	1,590,272
1173	프라이드 1.6GDI	기아자동차㈜	휘발유	1591	1076	수동6	18.2	-	1	129	1,590,272
1172	엑센트 1.6GDI(5DR)	현대자동차㈜	휘발유	1591	1060	수동6	18.2	-	1	128	1,590,272
1171	i30 1.6디젤 Wagon	현대자동차㈜	경유	1582	1374	자동4	18.1	-	1	148	1,454,271
1170	i30 1.6디젤	현대자동차㈜	경유	1582	1328	자동4	18.1	-	1	148	1,454,271
1169	Tiguan 2.0 TDI Blue Motion	아우디폭스바겐코리아(주)	경유	1968	1769	자동7	18.1	-	1	148	1,454,271
1168	엑센트 1.4가솔린(5DR)	현대자동차㈜	휘발유	1396	1040	수동5	18	-	1	130	1,607,942
1167	프라이드 1.4가솔린	기아자동차㈜	휘발유	1396	1056	수동6	18	-	1	130	1,607,942
1166	쏘울 1.6디젤	기아자동차㈜	경유	1582	1285	자동6	18	-	1	149	1,462,350
1165	Jetta 2.0 TDI	아우디폭스바겐코리아(주)	경유	1968	1516	자동6	18	-	1	149	1,462,350
1164	A200 CDI	메르세데스-벤츠코리아(주)	경유	1796	1475	자동7	18	-	1	107	1,462,350
1163	i40 1.7디젤(세단)	현대자동차㈜	경유	1685	1515	자동6	18	-	1	149	1,462,350
1162	i40 1.7디젤(왜건)	현대자동차㈜	경유	1685	1530	자동6	18	-	1	149	1,462,350
1161	프라이드 1.4가솔린(5DR)	기아자동차㈜	휘발유	1396	1050	수동6	18	-	1	130	1,607,942
1160	엑센트 1.4가솔린	현대자동차㈜	휘발유	1396	1035	수동5	18	-	1	130	1,607,942
1159	Golf 2.0 TDI	아우디폭스바겐코리아(주)	경유	1968	1531	자동6	17.9	-	1	150	1,470,520
1158	i30 1.6디젤	현대자동차㈜	경유	1582	1275	수동6	17.9	-	1	107	1,470,520
1157	모닝 1.0 Bi-fuel LPI	기아자동차㈜	LPG	998	925	수동5	17.8	-	경형	99	926,343
1156	Golf GTD	아우디폭스바겐코리아(주)	경유	1968	1495	자동6	17.8	-	1	152	1,478,781
1155	아반떼 1.6LPI 하이브리드	현대자동차㈜	LPG	1591	1297	무단변속	17.8	-	1	99	926,343
1154	포르테 1.6LPI 하이브리드	기아자동차㈜	LPG	1591	1297	무단변속	17.8	-	1	99	926,343
1153	엑센트 1.6GDI(5DR) ISG(고급형)	현대자동차㈜	휘발유	1591	1090	자동6	17.7	-	1	132	1,635,195
1152	프라이드 1.6GDI(5DR) ISG(고급형)	기아자동차㈜	휘발유	1591	1103	자동6	17.7	-	1	133	1,635,195
1151	프라이드 1.6GDI ISG(고급형)	기아자동차㈜	휘발유	1591	1109	자동6	17.7	-	1	133	1,635,195
1150	엑센트 1.6GDI ISG(고급형)	현대자동차㈜	휘발유	1591	1085	자동6	17.7	-	1	132	1,635,195
1149	아베오 1.6 MT	한국지엠주식회사	휘발유	1598	1180	수동5	17.6	-	1	133	1,644,486
1148	코란도C 2.0DI CDPF 2WD	쌍용자동차㈜	경유	1998	1570	수동6	17.6	-	1	153	1,495,585
1147	시트로엥 DS4 1.6 e-HDi	한불모터스(주)	경유	1560	1355	자동6	17.6	-	1	109	1,495,585
1146	포르테 1.6GDI(4DR) ISG(고급형)	기아자동차㈜	휘발유	1591	1190	자동6	17.5	-	1	134	1,653,883
1145	BMW 320d Touring	BMW코리아㈜	경유	1995	1535	자동8	17.5	-	1	110	1,504,131
1144	포르테 1.6GDI(4DR)	기아자동차㈜	휘발유	1591	1173	수동6	17.5	-	1	134	1,653,883
1143	아반떼 1.6GDI ISG(고급형)	현대자동차㈜	휘발유	1591	1190	자동6	17.5	-	1	134	1,653,883
