first,last,ASG,GG,BBWAA,From,To,Seasons,Ages,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
Ken,Boswell,0,,0,1967,1977,11,21-31,930,2816,2517,266,625,91,19,31,244,240,29,239,9,25,25,90,27,17,0.248,0.313,0.337,0.65
Mike,Hegan,1,,0,1964,1977,14,21-34,966,2444,2080,281,504,73,18,53,229,311,19,489,7,31,15,29,28,21,0.242,0.341,0.371,0.712
Phil,Roof,0,,0,1961,1977,17,20-36,857,2404,2151,190,463,69,13,43,210,184,18,504,23,40,6,68,11,10,0.215,0.283,0.319,0.602
Tony,Taylor,2,,0,1958,1976,19,22-40,2195,8501,7680,1005,2007,298,86,75,598,613,49,1083,78,91,39,166,234,111,0.261,0.321,0.352,0.673
Tommy,Davis,3,,0,1959,1976,18,20-37,1999,7739,7223,811,2121,272,35,153,1052,381,66,754,32,35,68,219,136,59,0.294,0.329,0.405,0.734
Tommy,Harper,1,,0,1962,1976,15,21-35,1810,7164,6269,972,1609,256,36,146,567,753,30,1080,35,76,31,87,408,116,0.257,0.338,0.379,0.717
Bill,Freehan,11,,0,1961,1976,16,19-34,1774,6899,6073,706,1591,241,35,200,758,626,67,753,114,38,48,138,24,21,0.262,0.34,0.412,0.752
Tony,Oliva,8,,0,1962,1976,15,23-37,1676,6879,6301,870,1917,329,48,220,947,448,131,645,59,14,57,139,86,55,0.304,0.353,0.476,0.829
Deron,Johnson,0,,0,1960,1976,17,21-37,1765,6620,5941,706,1447,247,33,245,923,585,54,1318,20,13,61,164,11,18,0.244,0.311,0.42,0.731
Cesar,Tovar,0,,0,1965,1976,12,24-35,1488,6177,5569,834,1546,253,55,46,435,413,23,410,88,73,34,58,226,108,0.278,0.335,0.368,0.703
Rico,Petrocelli,2,,0,1963,1976,14,20-33,1553,6170,5390,653,1352,237,22,210,773,661,61,926,26,36,57,127,10,22,0.251,0.332,0.42,0.752
Alex,Johnson,1,,0,1964,1976,13,21-33,1322,4948,4623,550,1331,180,33,78,525,244,43,626,36,12,33,143,113,63,0.288,0.326,0.392,0.718
Cleon,Jones,1,,0,1963,1976,14,20-33,1213,4730,4263,565,1196,183,33,93,524,360,42,702,40,26,41,108,91,48,0.281,0.339,0.404,0.743
Nate,Colbert,3,,0,1966,1976,11,20-30,1004,3863,3422,481,833,141,25,173,520,383,55,902,23,10,25,82,52,31,0.243,0.322,0.451,0.773
Dave,Duncan,1,,0,1964,1976,13,18-30,929,3190,2885,274,617,79,4,109,341,252,20,677,14,21,18,68,5,13,0.214,0.279,0.357,0.636
Ted,Kubiak,0,,0,1967,1976,10,25-34,977,2783,2447,238,565,61,21,13,202,271,36,272,4,45,16,70,13,22,0.231,0.307,0.289,0.596
Vada,Pinson,4,,0,1958,1975,18,19-36,2469,10403,9645,1366,2757,485,127,256,1170,574,69,1196,54,52,78,164,305,122,0.286,0.327,0.442,0.769
Leo,Cardenas,5,,0,1960,1975,16,21-36,1941,7402,6707,662,1725,285,49,118,689,522,122,1135,28,97,48,174,39,48,0.257,0.311,0.367,0.678
Dick,McAuliffe,3,,0,1960,1975,16,20-35,1763,7162,6185,888,1530,231,71,197,697,882,59,974,33,32,30,77,63,59,0.247,0.343,0.403,0.746
Ed,Brinkman,1,,0,1961,1975,15,19-33,1846,6640,6045,550,1355,201,38,60,461,444,44,845,40,71,40,162,30,35,0.224,0.28,0.3,0.58
Glenn,Beckert,4,,0,1965,1975,11,24-34,1320,5572,5208,685,1473,196,31,22,360,260,3,243,19,58,27,114,49,25,0.283,0.318,0.345,0.663
Jim,Northrup,0,,0,1964,1975,12,24-35,1392,5215,4692,603,1254,218,42,153,610,449,50,635,30,15,29,128,39,38,0.267,0.333,0.429,0.762
Johnny,Briggs,0,,0,1964,1975,12,20-31,1366,4837,4117,601,1041,170,43,139,507,663,47,785,5,22,30,54,64,49,0.253,0.355,0.416,0.771
Danny,Cater,0,,0,1964,1975,12,24-35,1289,4785,4451,491,1229,191,29,66,519,254,33,406,22,22,36,160,26,30,0.276,0.316,0.377,0.693
Ken,Berry,1,,0,1962,1975,14,21-34,1384,4545,4136,422,1053,150,23,58,343,298,31,569,30,64,17,108,45,46,0.255,0.308,0.344,0.652
Tommy,McCraw,0,,0,1963,1975,13,22-34,1468,4396,3956,484,972,150,42,75,404,332,48,544,40,42,26,70,143,68,0.246,0.309,0.362,0.671
Dal,Maxvill,0,,0,1962,1975,14,23-36,1423,3898,3443,302,748,79,24,6,252,370,49,538,8,54,23,94,7,11,0.217,0.293,0.259,0.552
Tony,Conigliaro,1,,0,1964,1975,12,19-30,876,3591,3221,464,849,139,23,166,516,287,28,629,33,19,31,63,20,23,0.264,0.327,0.476,0.803
Bob,Oliver,0,,0,1965,1975,11,22-32,847,3123,2914,293,745,102,19,94,419,156,26,562,19,9,25,101,17,14,0.256,0.295,0.4,0.695
Gene,Michael,0,,0,1966,1975,10,28-37,973,3095,2806,249,642,86,12,15,226,234,18,421,8,30,17,73,22,18,0.229,0.288,0.284,0.572
Walt,Williams,0,,0,1964,1975,12,20-31,842,2555,2373,284,640,106,11,33,173,126,7,211,18,25,13,45,34,19,0.27,0.31,0.365,0.675
Gates,Brown,0,,0,1963,1975,13,24-36,1051,2545,2262,330,582,78,19,84,322,242,18,275,15,5,21,54,30,8,0.257,0.33,0.42,0.75
Ron,Santo,9,,0,1960,1974,15,20-34,2243,9396,8143,1138,2254,365,67,342,1331,1108,94,1343,38,13,94,256,35,41,0.277,0.362,0.464,0.826
Norm,Cash,5,,0,1958,1974,17,23-39,2089,7910,6705,1046,1820,241,41,377,1103,1043,112,1091,90,17,55,139,43,30,0.271,0.374,0.488,0.862
Felipe,Alou,3,,0,1958,1974,17,23-39,2082,7908,7339,985,2101,359,49,206,852,423,67,706,57,33,56,135,107,67,0.286,0.328,0.433,0.761
Matty,Alou,2,,0,1960,1974,15,21-35,1667,6220,5789,780,1777,236,50,31,427,311,38,377,36,55,29,101,156,80,0.307,0.345,0.381,0.726
Ron,Hunt,2,,0,1963,1974,12,22-33,1483,6158,5235,745,1429,223,23,39,370,555,22,382,243,103,22,100,65,55,0.273,0.368,0.347,0.715
Denis,Menke,2,,0,1962,1974,13,21-33,1598,5934,5071,605,1270,225,40,101,606,698,73,853,46,54,65,99,34,54,0.25,0.343,0.37,0.713
Horace,Clarke,0,,0,1965,1974,10,25-34,1272,5242,4813,548,1230,150,23,27,304,365,18,362,11,29,24,77,151,58,0.256,0.308,0.313,0.621
Johnny,Edwards,3,,0,1961,1974,14,23-36,1470,5132,4577,430,1106,202,32,81,524,465,118,635,16,31,43,77,15,23,0.242,0.311,0.353,0.664
Jim,Hickman,1,,0,1962,1974,13,25-37,1421,4535,3974,518,1002,163,25,159,560,491,36,832,16,25,29,99,17,19,0.252,0.335,0.426,0.761
Dick,Green,0,,0,1963,1974,12,22-33,1288,4462,4007,427,960,145,23,80,422,345,34,785,32,56,22,99,26,20,0.24,0.303,0.347,0.65
Jim Ray,Hart,0,,0,1963,1974,12,21-32,1125,4236,3783,518,1052,148,29,170,578,380,49,573,28,8,37,122,17,17,0.278,0.345,0.467,0.812
Paul,Schaal,0,,0,1964,1974,11,21-31,1128,4149,3555,436,869,132,26,57,323,516,21,466,22,26,30,80,43,38,0.244,0.341,0.344,0.685
Larry,Brown,0,,0,1963,1974,12,23-34,1129,3871,3449,331,803,108,13,47,254,317,26,414,22,60,23,95,22,23,0.233,0.3,0.313,0.613
Rick,Reichardt,0,,0,1964,1974,11,21-31,997,3685,3307,391,864,109,24,116,445,263,20,672,66,25,24,92,40,41,0.261,0.326,0.414,0.74
Sonny,Jackson,0,,0,1963,1974,12,18-29,936,3390,3055,396,767,81,28,7,162,250,11,265,11,57,17,52,126,51,0.251,0.308,0.303,0.611
Paul,Casanova,1,,0,1965,1974,10,23-32,859,2930,2786,214,627,87,12,50,252,101,25,430,9,10,24,78,2,10,0.225,0.252,0.319,0.571
Duke,Sims,0,,0,1964,1974,11,23-33,843,2810,2422,263,580,80,6,100,310,338,34,483,35,6,9,45,6,16,0.239,0.34,0.401,0.741
John,Kennedy,0,,0,1962,1974,13,21-33,856,2324,2110,237,475,77,17,32,185,142,10,461,25,36,11,48,14,10,0.225,0.281,0.323,0.604
Johnny,Callison,4,,0,1958,1973,16,19-34,1886,7437,6652,926,1757,321,89,226,840,650,73,1064,41,51,43,98,74,51,0.264,0.331,0.441,0.772
Frank,Howard,4,,0,1958,1973,16,21-36,1895,7353,6488,864,1774,245,35,382,1119,782,135,1460,33,7,43,219,8,9,0.273,0.352,0.499,0.851
Joe,Pepitone,3,,0,1962,1973,12,21-32,1397,5476,5097,606,1315,158,35,219,721,302,73,526,28,14,35,124,41,32,0.258,0.301,0.432,0.733
Gene,Alley,2,,0,1963,1973,11,22-32,1195,4332,3927,442,999,140,44,55,342,300,62,622,27,56,22,95,63,30,0.254,0.31,0.354,0.664
Tommie,Agee,2,,0,1962,1973,12,19-30,1129,4324,3912,558,999,170,27,130,433,342,26,918,34,21,15,99,167,81,0.255,0.32,0.412,0.732
Jose,Pagan,0,,0,1959,1973,15,24-38,1326,4032,3689,387,922,138,26,52,372,244,43,510,22,39,38,81,46,35,0.25,0.298,0.344,0.642
Hal,Lanier,0,,0,1964,1973,10,21-30,1196,3940,3703,297,843,111,20,8,273,136,25,436,4,78,19,135,11,11,0.228,0.255,0.275,0.53
Bernie,Allen,0,,0,1962,1973,12,23-34,1139,3823,3404,357,815,140,21,73,351,370,52,424,8,24,17,60,13,16,0.239,0.314,0.357,0.671
Rich,Reese,0,,0,1964,1973,10,22-31,866,2225,2020,248,512,73,17,52,245,158,22,270,20,11,16,36,16,15,0.253,0.312,0.384,0.696
Jimmy,Stewart,0,,0,1963,1973,11,24-34,777,1602,1420,164,336,45,14,8,112,139,9,218,8,22,13,18,38,20,0.237,0.306,0.305,0.611
Maury,Wills,7,,0,1959,1972,14,26-39,1942,8304,7588,1067,2134,177,71,20,458,552,26,684,16,119,29,92,586,208,0.281,0.33,0.331,0.661
Julian,Javier,2,,0,1960,1972,13,23-35,1622,6179,5722,722,1469,216,55,78,506,314,39,812,21,90,32,100,135,63,0.257,0.296,0.355,0.651
Don,Buford,1,,0,1963,1972,10,26-35,1286,5347,4553,718,1203,157,44,93,418,672,57,575,41,47,34,34,200,105,0.264,0.362,0.379,0.741
Donn,Clendenon,0,,0,1961,1972,12,25-36,1362,5112,4648,594,1273,192,57,159,682,379,46,1140,21,17,47,123,90,57,0.274,0.328,0.442,0.77
Ron,Hansen,3,,0,1958,1972,15,20-34,1384,4961,4311,446,1007,156,17,106,501,551,49,643,19,39,41,141,9,14,0.234,0.32,0.351,0.671
Don,Mincher,2,,0,1960,1972,13,22-34,1400,4725,4026,530,1003,176,16,200,643,606,76,668,27,29,37,89,24,32,0.249,0.348,0.45,0.798
Tom,Haller,2,,0,1961,1972,12,24-35,1294,4519,3935,461,1011,153,31,134,504,477,96,593,35,35,37,60,14,30,0.257,0.34,0.414,0.754
John,Bateman,0,,0,1963,1972,10,22-31,1017,3585,3330,250,765,123,18,81,375,172,69,610,27,25,31,123,10,10,0.23,0.271,0.35,0.621
Bobby,Wine,0,,0,1960,1972,13,21-33,1164,3467,3172,249,682,104,16,30,268,214,53,538,3,63,15,103,7,7,0.215,0.264,0.286,0.55
Joe,Azcue,1,,0,1960,1972,13,20-32,909,3095,2828,201,712,94,9,50,304,207,45,344,17,11,32,87,5,12,0.252,0.304,0.344,0.648
J.C.,Martin,0,,0,1959,1972,14,22-35,908,2446,2189,189,487,82,12,32,230,201,53,299,17,22,17,36,9,8,0.222,0.291,0.315,0.606
Curt,Flood,3,,0,1956,1971,16,18-33,1759,6958,6357,851,1861,271,44,85,636,444,22,609,52,72,33,117,88,73,0.293,0.342,0.389,0.731
Clete,Boyer,0,,0,1955,1971,17,18-34,1725,6365,5780,645,1396,200,33,162,654,470,74,931,25,37,53,136,41,28,0.242,0.299,0.372,0.671
Tony,Gonzalez,0,,0,1960,1971,12,23-34,1559,5793,5195,690,1485,238,57,103,615,467,63,706,71,20,40,124,79,61,0.286,0.35,0.413,0.763
Zoilo,Versalles,2,,0,1959,1971,13,19-31,1400,5578,5141,650,1246,230,63,95,471,318,26,810,40,50,29,92,97,48,0.242,0.29,0.367,0.657
Bob,Aspromonte,0,,0,1956,1971,16,18-33,1324,4799,4369,386,1103,135,26,60,457,333,52,459,29,36,32,131,19,24,0.252,0.308,0.336,0.644
Chuck,Hinton,1,,0,1961,1971,11,27-37,1353,4455,3968,518,1048,152,47,113,443,416,27,685,7,28,36,91,130,50,0.264,0.332,0.412,0.744
Lee,Maye,0,,0,1959,1971,13,24-36,1288,4382,4048,533,1109,190,39,94,419,282,29,481,19,13,20,54,59,34,0.274,0.323,0.41,0.733
Mike,Hershberger,0,,0,1961,1971,11,21-31,1150,3983,3572,398,900,150,22,26,344,319,19,311,31,33,28,100,74,36,0.252,0.316,0.328,0.644
Mack,Jones,0,,0,1961,1971,11,22-32,1002,3584,3091,485,778,132,31,133,415,383,31,756,77,15,18,49,65,40,0.252,0.347,0.444,0.791
Dick,Schofield,0,,0,1953,1971,19,18-36,1321,3545,3083,394,699,113,20,21,211,390,18,526,26,29,17,56,12,29,0.227,0.317,0.297,0.614
Clay,Dalrymple,0,,0,1960,1971,12,23-34,1079,3532,3042,243,710,98,23,55,327,387,77,403,22,54,27,66,3,13,0.233,0.322,0.335,0.657
Al,Spangler,0,,0,1959,1971,13,25-37,912,2615,2267,307,594,87,26,21,175,295,23,234,11,23,19,20,37,32,0.262,0.347,0.351,0.698
Ty,Cline,0,,0,1960,1971,12,21-32,892,2039,1834,251,437,53,25,6,125,153,5,262,21,27,4,19,22,19,0.238,0.304,0.304,0.608
Al,Weis,0,,0,1962,1971,10,24-33,800,1763,1578,195,346,45,11,7,115,117,11,299,14,45,9,24,55,22,0.219,0.278,0.275,0.553
Bob,Allison,3,,0,1958,1970,13,23-35,1541,5921,5032,811,1281,216,53,256,796,795,30,1033,34,25,35,115,84,50,0.255,0.358,0.471,0.829
Tito,Francona,1,,0,1956,1970,15,22-36,1719,5776,5121,650,1395,224,34,125,656,544,59,694,32,38,41,103,46,21,0.272,0.343,0.403,0.746
Johnny,Roseboro,6,,0,1957,1970,14,24-37,1585,5527,4847,512,1206,190,44,104,548,547,110,677,36,44,53,76,67,56,0.249,0.326,0.371,0.697
Jim,Davenport,2,,0,1958,1970,13,24-36,1501,4981,4427,552,1142,177,37,77,456,382,23,673,23,111,38,104,16,25,0.258,0.318,0.367,0.685
Jerry,Adair,0,,0,1958,1970,13,21-33,1165,4315,4019,378,1022,163,19,57,366,208,31,499,17,41,30,149,29,29,0.254,0.292,0.347,0.639
Russ,Snyder,0,,0,1959,1970,12,25-36,1365,4014,3631,488,984,150,29,42,319,294,10,438,9,57,23,61,58,32,0.271,0.325,0.363,0.688
Rich,Rollins,2,,0,1961,1970,10,23-32,1002,3675,3303,419,887,125,20,77,399,266,23,410,39,45,22,80,17,10,0.269,0.328,0.388,0.716
Gary,Geiger,0,,0,1958,1970,13,21-33,954,2968,2569,388,633,91,29,77,283,341,13,466,17,27,14,34,62,29,0.246,0.337,0.394,0.731
Bob,Johnson,0,,0,1960,1970,11,24-34,874,2508,2307,254,628,88,11,44,230,156,12,291,10,24,11,76,24,12,0.272,0.32,0.377,0.697
Ken,Boyer,11,,0,1955,1969,15,24-38,2034,8268,7455,1104,2143,318,68,282,1141,713,97,1017,20,17,63,185,105,77,0.287,0.349,0.462,0.811
Bill,White,8,,0,1956,1969,14,22-35,1673,6680,5972,843,1706,278,65,202,870,596,70,927,28,39,45,82,103,68,0.286,0.351,0.455,0.806
Leon,Wagner,3,,0,1958,1969,12,24-35,1352,4950,4426,636,1202,150,15,211,669,435,64,656,43,11,35,61,54,24,0.272,0.34,0.455,0.795
Woodie,Held,0,,0,1954,1969,16,22-37,1390,4645,4019,524,963,150,22,179,559,508,45,944,56,34,28,92,14,11,0.24,0.331,0.421,0.752
Dick,Stuart,2,,0,1958,1969,12,25-36,1112,4363,3997,506,1055,157,30,228,743,301,34,957,22,6,37,118,2,7,0.264,0.316,0.489,0.805
Jim,Pagliaroni,0,,0,1955,1969,15,17-31,849,2853,2465,269,622,98,7,90,326,330,39,494,25,14,19,61,4,7,0.252,0.344,0.407,0.751
Charley,Smith,0,,0,1960,1969,10,22-31,771,2686,2484,228,594,83,18,69,281,130,19,565,14,38,20,60,7,12,0.239,0.279,0.37,0.649
Gene,Oliver,0,,0,1959,1969,11,24-34,786,2467,2216,268,546,111,5,93,320,215,22,420,15,5,16,62,24,21,0.246,0.315,0.427,0.742
Ruben,Amaro,0,,0,1958,1969,12,22-33,940,2451,2155,211,505,75,13,8,156,227,24,280,10,47,12,53,11,14,0.234,0.309,0.292,0.601
Rocky,Colavito,9,,0,1955,1968,14,21-34,1841,7559,6503,971,1730,283,21,374,1159,951,58,880,29,16,60,182,19,27,0.266,0.359,0.489,0.848
Bill,Virdon,0,,0,1955,1968,14,24-37,1583,6522,5980,735,1596,237,81,91,502,442,41,647,8,53,39,84,47,54,0.267,0.316,0.379,0.695
Roger,Maris,4,,0,1957,1968,12,22-33,1463,5846,5101,826,1325,195,42,275,851,652,42,733,38,12,43,75,21,9,0.26,0.345,0.476,0.821
Elston,Howard,12,,0,1955,1968,14,26-39,1605,5843,5363,619,1471,218,50,167,762,373,82,786,26,29,52,157,9,14,0.274,0.322,0.427,0.749
Norm,Siebern,4,,0,1956,1968,13,22-34,1406,5267,4481,662,1217,206,38,132,636,708,47,748,10,20,48,64,18,25,0.272,0.369,0.423,0.792
Wayne,Causey,0,,0,1955,1968,14,18-31,1105,3721,3244,357,819,130,26,35,285,390,25,341,15,41,31,59,12,12,0.252,0.333,0.341,0.674
Lenny,Green,0,,0,1957,1968,12,24-35,1136,3398,2956,461,788,138,27,47,253,368,12,260,29,25,20,43,78,41,0.267,0.351,0.379,0.73
Russ,Nixon,0,,0,1957,1968,12,22-33,906,2714,2504,215,670,115,19,27,266,154,38,279,11,19,26,83,0,7,0.268,0.31,0.361,0.671
Dick,Groat,8,,0,1952,1967,16,21-36,1929,8179,7484,829,2138,352,67,39,707,490,39,512,31,122,52,220,14,27,0.286,0.33,0.366,0.696
Jim,Piersall,2,,0,1950,1967,18,20-37,1734,6591,5890,811,1604,256,52,104,591,524,23,583,25,104,48,161,115,57,0.272,0.332,0.386,0.718
Bill,Skowron,8,,0,1954,1967,14,23-36,1658,6046,5547,681,1566,243,53,211,888,383,48,870,54,17,45,192,16,18,0.282,0.332,0.459,0.791
Jerry,Lumpe,1,,0,1956,1967,12,23-34,1371,5441,4912,620,1314,190,52,47,454,428,21,411,8,57,36,97,20,15,0.268,0.325,0.356,0.681
Jim,Landis,2,,0,1957,1967,11,23-33,1346,5025,4288,625,1061,169,50,93,467,588,22,767,59,61,29,65,139,51,0.247,0.344,0.375,0.719
Smoky,Burgess,9,,0,1949,1967,19,22-40,1691,5013,4471,485,1318,230,33,126,673,477,80,270,13,13,39,121,13,14,0.295,0.362,0.446,0.808
Jackie,Brandt,2,,0,1956,1967,12,22-33,1221,4318,3895,540,1020,175,37,112,485,351,20,574,12,31,29,75,45,30,0.262,0.323,0.412,0.735
Eddie,Bressoud,1,,0,1956,1967,12,24-35,1186,4106,3672,443,925,184,40,94,365,359,44,723,12,38,25,74,9,13,0.252,0.319,0.401,0.72
Earl,Battey,5,,0,1955,1967,13,20-32,1141,4104,3586,393,969,150,17,104,449,421,42,470,28,39,30,127,13,12,0.27,0.349,0.409,0.758
Don,Demeter,0,,0,1956,1967,12,21-32,1109,3730,3443,467,912,147,17,163,563,180,31,658,42,33,32,65,22,25,0.265,0.307,0.459,0.766
Jim,King,0,,0,1955,1967,13,22-34,1125,3337,2918,374,699,112,19,117,401,363,35,401,23,11,22,55,23,8,0.24,0.326,0.411,0.737
Johnny,Romano,4,,0,1958,1967,10,23-32,905,3256,2767,355,706,112,10,129,417,414,27,485,29,13,33,69,7,9,0.255,0.354,0.443,0.797
Andre,Rodgers,0,,0,1957,1967,11,22-32,854,2871,2521,268,628,112,23,45,245,290,26,507,18,21,21,67,22,20,0.249,0.328,0.365,0.693
Bob,Lillis,0,,0,1958,1967,10,28-37,817,2491,2328,198,549,68,9,3,137,99,13,116,13,40,11,61,23,25,0.236,0.27,0.277,0.547
Jim,Gilliam,2,,0,1953,1966,14,24-37,1956,8321,7119,1163,1889,304,71,65,558,1036,30,416,33,98,35,90,203,111,0.265,0.36,0.355,0.715
Roy,McMillan,2,,0,1951,1966,16,21-36,2093,7653,6752,739,1639,253,35,68,594,665,47,711,57,140,39,163,41,36,0.243,0.314,0.321,0.635
Harvey,Kuenn,10,,0,1952,1966,15,21-35,1833,7618,6913,951,2092,356,56,87,671,594,39,404,15,44,52,143,68,56,0.303,0.357,0.408,0.765
Joe,Adcock,2,,0,1950,1966,17,22-38,1959,7304,6606,823,1832,295,35,336,1122,594,55,1059,17,52,35,223,20,25,0.277,0.337,0.485,0.822
Frank,Thomas,3,,0,1951,1966,16,22-37,1766,6916,6285,792,1671,262,31,286,962,484,55,894,51,26,70,191,15,22,0.266,0.32,0.454,0.774
Frank,Bolling,4,,0,1954,1966,13,22-34,1540,6189,5562,692,1415,221,40,106,556,462,28,558,30,97,38,114,40,38,0.254,0.313,0.366,0.679
Don,Blasingame,1,,0,1955,1966,12,23-34,1444,5938,5296,731,1366,178,62,21,308,552,15,462,15,62,13,43,105,60,0.258,0.329,0.327,0.656
Frank,Malzone,8,,0,1955,1966,12,25-36,1441,5868,5428,647,1486,239,21,133,728,337,26,434,17,31,55,165,14,14,0.274,0.315,0.399,0.714
Bobby,Richardson,8,,0,1955,1966,12,19-30,1412,5783,5386,643,1432,196,37,34,390,262,20,243,7,98,30,100,73,48,0.266,0.299,0.335,0.634
Del,Crandall,11,,0,1949,1966,18,19-36,1573,5581,5026,585,1276,179,18,179,657,424,95,477,21,68,42,162,26,28,0.254,0.312,0.404,0.716
Hector,Lopez,0,,0,1955,1966,12,25-36,1450,5177,4644,623,1251,193,37,136,591,418,24,696,23,48,44,136,16,23,0.269,0.33,0.415,0.745
Bob,Skinner,3,,0,1954,1966,13,22-34,1381,4873,4318,642,1198,197,58,103,531,485,53,646,17,33,20,81,67,36,0.277,0.351,0.421,0.772
Ed,Bailey,6,,0,1953,1966,14,22-35,1212,4208,3581,432,915,128,15,155,540,545,77,577,25,20,37,81,17,18,0.256,0.355,0.429,0.784
Joe,Cunningham,2,,0,1954,1966,13,22-34,1141,4061,3362,525,980,177,26,64,436,599,31,369,49,26,25,56,16,27,0.291,0.403,0.417,0.82
Eddie,Kasko,2,,0,1957,1966,10,25-34,1077,3879,3546,411,935,146,13,22,261,265,33,353,20,27,21,77,31,31,0.264,0.317,0.331,0.648
Gene,Freese,0,,0,1955,1966,12,21-32,1115,3784,3446,429,877,161,28,115,432,243,28,535,20,48,27,75,51,26,0.254,0.305,0.418,0.723
Jim,Gentile,6,,0,1957,1966,10,23-32,936,3479,2922,434,759,113,6,179,549,475,54,663,45,5,32,69,3,1,0.26,0.368,0.486,0.854
Wes,Covington,0,,0,1956,1966,11,24-34,1075,3291,2978,355,832,128,17,131,499,247,51,414,24,16,26,73,7,4,0.279,0.337,0.466,0.803
Jerry,Lynch,0,,0,1954,1966,13,23-35,1184,3145,2879,364,798,123,34,115,470,224,29,416,9,8,25,58,12,17,0.277,0.329,0.463,0.792
Felix,Mantilla,1,,0,1956,1966,11,21-31,969,3027,2707,360,707,97,10,89,330,256,13,352,26,18,20,79,27,10,0.261,0.329,0.403,0.732
Marty,Keough,0,,0,1956,1966,11,21-31,841,2008,1796,256,434,71,23,43,176,164,11,318,17,20,11,19,26,19,0.242,0.309,0.379,0.688
Roy,Sievers,5,,0,1949,1965,17,22-38,1887,7349,6387,945,1703,292,42,318,1147,841,55,920,51,15,55,164,14,19,0.267,0.354,0.475,0.829
Vic,Power,6,,0,1954,1965,12,26-37,1627,6461,6046,765,1716,290,49,126,658,279,26,247,15,73,48,145,45,35,0.284,0.315,0.411,0.726
Wally,Moon,3,,0,1954,1965,12,24-35,1457,5566,4843,737,1399,212,60,142,661,644,56,591,13,31,35,121,89,68,0.289,0.371,0.445,0.816
Gus,Triandos,4,,0,1953,1965,13,22-34,1206,4426,3907,389,954,147,6,167,608,440,49,636,21,26,32,128,1,0,0.244,0.322,0.413,0.735
Don,Zimmer,2,,0,1954,1965,12,23-34,1095,3593,3283,353,773,130,22,91,352,246,27,678,13,37,14,99,45,25,0.235,0.29,0.372,0.662
Gino,Cimoli,1,,0,1956,1965,10,26-35,969,3357,3054,370,808,133,48,44,321,221,13,474,14,43,25,89,21,6,0.265,0.315,0.383,0.698
Pete,Runnels,5,,0,1951,1964,14,23-36,1799,7328,6373,876,1854,282,64,49,630,844,28,627,28,49,34,174,37,51,0.291,0.375,0.378,0.753
Gus,Bell,4,,0,1950,1964,15,21-35,1741,7073,6478,865,1823,311,66,206,942,470,27,636,27,45,53,109,30,31,0.281,0.33,0.445,0.775
Bill,Bruton,0,,0,1953,1964,12,27-38,1610,6668,6056,937,1651,241,102,94,545,482,32,793,29,72,29,73,207,89,0.273,0.328,0.393,0.721
Al,Smith,4,,0,1953,1964,12,25-36,1517,6172,5357,843,1458,258,46,164,676,674,30,768,63,35,43,127,67,43,0.272,0.358,0.429,0.787
Johnny,Temple,6,,0,1952,1964,13,24-36,1420,6035,5218,720,1484,208,36,22,395,648,5,338,13,122,34,79,140,48,0.284,0.363,0.351,0.714
Don,Hoak,1,,0,1954,1964,11,26-36,1263,4945,4322,598,1144,214,44,89,498,523,36,530,22,45,33,122,64,47,0.265,0.345,0.396,0.741
Wally,Post,0,,0,1949,1964,16,19-34,1204,4397,4007,594,1064,194,28,210,699,331,28,813,20,10,29,93,19,13,0.266,0.323,0.485,0.808
Charlie,Maxwell,2,,0,1950,1964,15,23-37,1133,3796,3245,478,856,110,26,148,532,484,31,545,22,16,29,45,18,7,0.264,0.36,0.451,0.811
Bubba,Phillips,0,,0,1955,1964,10,27-36,1062,3564,3278,348,835,135,8,62,356,182,24,314,31,38,35,81,25,11,0.255,0.297,0.358,0.655
Hal,Smith,3,,0,1955,1964,10,24-33,879,2941,2682,269,715,148,10,58,323,196,12,361,14,20,29,92,7,10,0.267,0.317,0.394,0.711
Lee,Walls,1,,0,1952,1964,13,19-31,902,2868,2558,331,670,88,31,66,284,245,6,470,16,34,15,61,21,18,0.262,0.329,0.398,0.727
Gene,Stephens,0,,0,1952,1964,13,19-31,964,2195,1913,283,460,78,15,37,207,233,5,322,14,17,18,16,27,20,0.24,0.325,0.355,0.68
Gil,Hodges,8,,0,1943,1963,21,19-39,2071,8104,7030,1105,1921,295,48,370,1274,943,31,1137,25,56,50,165,63,31,0.273,0.359,0.487,0.846
Vic,Wertz,4,,0,1947,1963,17,22-38,1862,7021,6099,867,1692,289,42,266,1178,828,33,842,27,24,43,143,9,19,0.277,0.364,0.469,0.833
Sherm,Lollar,9,,0,1946,1963,18,21-38,1752,6218,5351,623,1415,244,14,155,808,671,49,453,115,47,34,184,20,10,0.264,0.357,0.402,0.759
Johnny,Logan,4,,0,1951,1963,13,24-36,1503,5893,5244,651,1407,216,41,93,547,451,26,472,43,125,30,125,19,13,0.268,0.33,0.378,0.708
Bill,Tuttle,0,,0,1952,1963,12,22-33,1270,4842,4268,578,1105,149,47,67,443,480,18,416,13,52,29,143,38,44,0.259,0.334,0.363,0.697
Daryl,Spencer,0,,0,1952,1963,12,23-34,1098,4206,3689,457,901,145,20,105,428,449,25,516,20,21,27,103,13,7,0.244,0.327,0.38,0.707
