"일자"	"요일"	"시간대"	"업종"	"이용건수"
"20131102"	"토"	"02"	"음식점-족발/보쌈전문"	"20"
"20131102"	"토"	"02"	"음식점-중국음식"	"118"
"20131102"	"토"	"02"	"치킨"	"94"
"20131102"	"토"	"02"	"피자"	"12"
"20131102"	"토"	"03"	"음식점-족발/보쌈전문"	"7"
"20131102"	"토"	"03"	"음식점-중국음식"	"107"
"20131102"	"토"	"03"	"치킨"	"42"
"20131102"	"토"	"03"	"피자"	"13"
"20131102"	"토"	"04"	"음식점-족발/보쌈전문"	"7"
"20131102"	"토"	"04"	"음식점-중국음식"	"91"
"20131102"	"토"	"04"	"치킨"	"18"
"20131102"	"토"	"04"	"피자"	"10"
"20131102"	"토"	"05"	"음식점-중국음식"	"75"
"20131102"	"토"	"05"	"치킨"	"20"
"20131102"	"토"	"05"	"피자"	"5"
"20131102"	"토"	"06"	"음식점-족발/보쌈전문"	"8"
"20131102"	"토"	"06"	"음식점-중국음식"	"64"
"20131102"	"토"	"06"	"치킨"	"5"
"20131102"	"토"	"06"	"피자"	"5"
"20131102"	"토"	"07"	"음식점-족발/보쌈전문"	"14"
"20131102"	"토"	"07"	"음식점-중국음식"	"60"
"20131102"	"토"	"07"	"치킨"	"10"
"20131102"	"토"	"08"	"음식점-족발/보쌈전문"	"5"
"20131102"	"토"	"08"	"음식점-중국음식"	"86"
"20131102"	"토"	"08"	"치킨"	"12"
"20131102"	"토"	"08"	"피자"	"5"
"20131102"	"토"	"09"	"음식점-족발/보쌈전문"	"10"
"20131102"	"토"	"09"	"음식점-중국음식"	"229"
"20131102"	"토"	"09"	"치킨"	"12"
"20131102"	"토"	"09"	"피자"	"13"
"20131102"	"토"	"10"	"음식점-족발/보쌈전문"	"37"
"20131102"	"토"	"10"	"음식점-중국음식"	"779"
"20131102"	"토"	"10"	"치킨"	"41"
"20131102"	"토"	"10"	"피자"	"95"
"20131102"	"토"	"11"	"음식점-족발/보쌈전문"	"86"
"20131102"	"토"	"11"	"음식점-중국음식"	"2547"
"20131102"	"토"	"11"	"치킨"	"243"
"20131102"	"토"	"11"	"피자"	"390"
"20131102"	"토"	"12"	"음식점-족발/보쌈전문"	"108"
"20131102"	"토"	"12"	"음식점-중국음식"	"3974"
"20131102"	"토"	"12"	"치킨"	"727"
"20131102"	"토"	"12"	"피자"	"704"
"20131102"	"토"	"13"	"음식점-족발/보쌈전문"	"96"
"20131102"	"토"	"13"	"음식점-중국음식"	"3735"
"20131102"	"토"	"13"	"치킨"	"822"
"20131102"	"토"	"13"	"피자"	"710"
"20131102"	"토"	"14"	"음식점-족발/보쌈전문"	"121"
"20131102"	"토"	"14"	"음식점-중국음식"	"2396"
"20131102"	"토"	"14"	"치킨"	"840"
"20131102"	"토"	"14"	"피자"	"660"
"20131102"	"토"	"15"	"음식점-족발/보쌈전문"	"113"
"20131102"	"토"	"15"	"음식점-중국음식"	"1684"
"20131102"	"토"	"15"	"치킨"	"942"
"20131102"	"토"	"15"	"피자"	"564"
"20131102"	"토"	"16"	"음식점-족발/보쌈전문"	"181"
"20131102"	"토"	"16"	"음식점-중국음식"	"1436"
"20131102"	"토"	"16"	"치킨"	"1284"
"20131102"	"토"	"16"	"피자"	"596"
"20131102"	"토"	"17"	"음식점-족발/보쌈전문"	"358"
"20131102"	"토"	"17"	"음식점-중국음식"	"1834"
"20131102"	"토"	"17"	"치킨"	"2553"
"20131102"	"토"	"17"	"피자"	"879"
"20131102"	"토"	"18"	"음식점-족발/보쌈전문"	"592"
"20131102"	"토"	"18"	"음식점-중국음식"	"2615"
"20131102"	"토"	"18"	"치킨"	"4232"
"20131102"	"토"	"18"	"피자"	"1108"
"20131102"	"토"	"19"	"음식점-족발/보쌈전문"	"507"
"20131102"	"토"	"19"	"음식점-중국음식"	"1739"
"20131102"	"토"	"19"	"치킨"	"3557"
"20131102"	"토"	"19"	"피자"	"902"
"20131102"	"토"	"20"	"음식점-족발/보쌈전문"	"411"
"20131102"	"토"	"20"	"음식점-중국음식"	"1001"
"20131102"	"토"	"20"	"치킨"	"3236"
"20131102"	"토"	"20"	"피자"	"755"
"20131102"	"토"	"21"	"음식점-족발/보쌈전문"	"325"
"20131102"	"토"	"21"	"음식점-중국음식"	"394"
"20131102"	"토"	"21"	"치킨"	"3346"
"20131102"	"토"	"21"	"피자"	"700"
"20131102"	"토"	"22"	"음식점-족발/보쌈전문"	"267"
"20131102"	"토"	"22"	"음식점-중국음식"	"239"
"20131102"	"토"	"22"	"치킨"	"3359"
"20131102"	"토"	"22"	"피자"	"480"
"20131102"	"토"	"23"	"음식점-족발/보쌈전문"	"175"
"20131102"	"토"	"23"	"음식점-중국음식"	"158"
"20131102"	"토"	"23"	"치킨"	"2287"
"20131102"	"토"	"23"	"피자"	"202"
"20131103"	"일"	"00"	"음식점-족발/보쌈전문"	"78"
"20131103"	"일"	"00"	"음식점-중국음식"	"135"
"20131103"	"일"	"00"	"치킨"	"939"
"20131103"	"일"	"00"	"피자"	"52"
"20131103"	"일"	"01"	"음식점-족발/보쌈전문"	"32"
"20131103"	"일"	"01"	"음식점-중국음식"	"125"
"20131103"	"일"	"01"	"치킨"	"362"
"20131103"	"일"	"01"	"피자"	"17"
"20131103"	"일"	"02"	"음식점-족발/보쌈전문"	"15"
"20131103"	"일"	"02"	"음식점-중국음식"	"125"
"20131103"	"일"	"02"	"치킨"	"128"
"20131103"	"일"	"02"	"피자"	"19"
"20131103"	"일"	"03"	"음식점-족발/보쌈전문"	"8"
"20131103"	"일"	"03"	"음식점-중국음식"	"93"
"20131103"	"일"	"03"	"치킨"	"49"
"20131103"	"일"	"03"	"피자"	"10"
"20131103"	"일"	"04"	"음식점-족발/보쌈전문"	"7"
"20131103"	"일"	"04"	"음식점-중국음식"	"94"
"20131103"	"일"	"04"	"치킨"	"12"
"20131103"	"일"	"04"	"피자"	"5"
"20131103"	"일"	"05"	"음식점-족발/보쌈전문"	"5"
"20131103"	"일"	"05"	"음식점-중국음식"	"53"
"20131103"	"일"	"05"	"치킨"	"6"
"20131103"	"일"	"06"	"음식점-중국음식"	"50"
"20131103"	"일"	"06"	"피자"	"5"
"20131103"	"일"	"07"	"음식점-중국음식"	"76"
"20131103"	"일"	"07"	"피자"	"5"
"20131103"	"일"	"08"	"음식점-중국음식"	"77"
"20131103"	"일"	"08"	"치킨"	"7"
"20131103"	"일"	"09"	"음식점-족발/보쌈전문"	"10"
"20131103"	"일"	"09"	"음식점-중국음식"	"202"
"20131103"	"일"	"09"	"치킨"	"6"
"20131103"	"일"	"09"	"피자"	"19"
"20131103"	"일"	"10"	"음식점-족발/보쌈전문"	"29"
"20131103"	"일"	"10"	"음식점-중국음식"	"705"
"20131103"	"일"	"10"	"치킨"	"27"
"20131103"	"일"	"10"	"피자"	"90"
"20131103"	"일"	"11"	"음식점-족발/보쌈전문"	"77"
"20131103"	"일"	"11"	"음식점-중국음식"	"1995"
"20131103"	"일"	"11"	"치킨"	"178"
"20131103"	"일"	"11"	"피자"	"310"
"20131103"	"일"	"12"	"음식점-족발/보쌈전문"	"89"
"20131103"	"일"	"12"	"음식점-중국음식"	"2957"
"20131103"	"일"	"12"	"치킨"	"533"
"20131103"	"일"	"12"	"피자"	"565"
"20131103"	"일"	"13"	"음식점-족발/보쌈전문"	"104"
"20131103"	"일"	"13"	"음식점-중국음식"	"2859"
"20131103"	"일"	"13"	"치킨"	"697"
"20131103"	"일"	"13"	"피자"	"621"
"20131103"	"일"	"14"	"음식점-족발/보쌈전문"	"85"
