"일자","요일","시간대","업종","총_건수"
"20130902","월","10","음식점-중국음식","592"
"20130902","월","11","음식점-족발/보쌈전문","47"
"20130902","월","11","치킨","71"
"20130902","월","11","피자전문","227"
"20130902","월","11","음식점-중국음식","2105"
"20130902","월","12","음식점-족발/보쌈전문","81"
"20130902","월","12","피자전문","202"
"20130902","월","12","치킨","213"
"20130902","월","12","음식점-중국음식","3057"
"20130902","월","13","음식점-족발/보쌈전문","79"
"20130902","월","13","피자전문","199"
"20130902","월","13","치킨","223"
"20130902","월","13","음식점-중국음식","2346"
"20130902","월","14","음식점-족발/보쌈전문","48"
"20130902","월","14","피자전문","227"
"20130902","월","14","치킨","261"
"20130902","월","14","음식점-중국음식","1625"
"20130902","월","15","음식점-족발/보쌈전문","81"
"20130902","월","15","피자전문","289"
"20130902","월","15","치킨","431"
"20130902","월","15","음식점-중국음식","1322"
"20130902","월","16","음식점-족발/보쌈전문","88"
"20130902","월","16","피자전문","352"
"20130902","월","16","치킨","631"
"20130902","월","16","음식점-중국음식","1341"
"20130902","월","17","음식점-족발/보쌈전문","137"
"20130902","월","17","피자전문","508"
"20130902","월","17","치킨","972"
"20130902","월","17","음식점-중국음식","1594"
"20130902","월","18","음식점-족발/보쌈전문","282"
"20130902","월","18","피자전문","577"
"20130902","월","18","치킨","1811"
"20130902","월","18","음식점-중국음식","2145"
"20130902","월","19","음식점-족발/보쌈전문","344"
"20130902","월","19","피자전문","661"
"20130902","월","19","음식점-중국음식","2342"
"20130902","월","19","치킨","2418"
"20130902","월","20","음식점-족발/보쌈전문","268"
"20130902","월","20","피자전문","535"
"20130902","월","20","음식점-중국음식","1388"
"20130902","월","20","치킨","2168"
"20130902","월","21","음식점-족발/보쌈전문","206"
"20130902","월","21","피자전문","535"
"20130902","월","21","음식점-중국음식","557"
"20130902","월","21","치킨","2232"
"20130902","월","22","음식점-족발/보쌈전문","163"
"20130902","월","22","음식점-중국음식","294"
"20130902","월","22","피자전문","368"
"20130902","월","22","치킨","2040"
"20130902","월","23","음식점-족발/보쌈전문","110"
"20130902","월","23","피자전문","121"
"20130902","월","23","음식점-중국음식","244"
"20130902","월","23","치킨","1377"
"20130903","화","00","피자전문","31"
"20130903","화","00","음식점-족발/보쌈전문","59"
"20130903","화","00","음식점-중국음식","220"
"20130903","화","00","치킨","577"
"20130903","화","01","피자전문","23"
"20130903","화","01","음식점-족발/보쌈전문","51"
"20130903","화","01","음식점-중국음식","184"
"20130903","화","01","치킨","193"
"20130903","화","02","피자전문","16"
"20130903","화","02","음식점-족발/보쌈전문","28"
"20130903","화","02","치킨","76"
"20130903","화","02","음식점-중국음식","198"
"20130903","화","03","피자전문","13"
"20130903","화","03","음식점-족발/보쌈전문","17"
"20130903","화","03","치킨","38"
"20130903","화","03","음식점-중국음식","103"
"20130903","화","04","피자전문","7"
"20130903","화","04","음식점-족발/보쌈전문","11"
"20130903","화","04","치킨","15"
"20130903","화","04","음식점-중국음식","112"
"20130903","화","05","피자전문","5"
"20130903","화","05","음식점-족발/보쌈전문","8"
"20130903","화","05","치킨","11"
"20130903","화","05","음식점-중국음식","89"
"20130903","화","06","치킨","5"
"20130903","화","06","피자전문","5"
"20130903","화","06","음식점-족발/보쌈전문","8"
"20130903","화","06","음식점-중국음식","93"
"20130903","화","07","치킨","5"
"20130903","화","07","피자전문","5"
"20130903","화","07","음식점-족발/보쌈전문","12"
"20130903","화","07","음식점-중국음식","86"
"20130903","화","08","피자전문","5"
"20130903","화","08","치킨","8"
"20130903","화","08","음식점-족발/보쌈전문","9"
"20130903","화","08","음식점-중국음식","134"
"20130903","화","09","음식점-족발/보쌈전문","9"
"20130903","화","09","치킨","15"
"20130903","화","09","피자전문","16"
"20130903","화","09","음식점-중국음식","275"
"20130903","화","10","음식점-족발/보쌈전문","36"
"20130903","화","10","치킨","42"
"20130903","화","10","피자전문","77"
"20130903","화","10","음식점-중국음식","734"
"20130903","화","11","음식점-족발/보쌈전문","49"
"20130903","화","11","치킨","100"
"20130903","화","11","피자전문","233"
"20130903","화","11","음식점-중국음식","2439"
