"date"	"weekday"	"time"	"type"	"freq"
2013-08-02	"금"	"15"	"족발/보쌈전문"	104
2013-08-02	"금"	"16"	"족발/보쌈전문"	134
2013-08-02	"금"	"17"	"족발/보쌈전문"	257
2013-08-02	"금"	"18"	"족발/보쌈전문"	436
2013-08-02	"금"	"19"	"족발/보쌈전문"	537
2013-08-02	"금"	"20"	"족발/보쌈전문"	474
2013-08-02	"금"	"21"	"족발/보쌈전문"	378
2013-08-02	"금"	"22"	"족발/보쌈전문"	261
2013-08-02	"금"	"23"	"족발/보쌈전문"	185
2013-08-02	"금"	"00"	"중국음식"	237
2013-08-02	"금"	"01"	"중국음식"	215
2013-08-02	"금"	"02"	"중국음식"	203
2013-08-02	"금"	"03"	"중국음식"	214
2013-08-02	"금"	"04"	"중국음식"	137
2013-08-02	"금"	"05"	"중국음식"	131
2013-08-02	"금"	"06"	"중국음식"	112
2013-08-02	"금"	"07"	"중국음식"	86
2013-08-02	"금"	"08"	"중국음식"	156
2013-08-02	"금"	"09"	"중국음식"	270
2013-08-02	"금"	"10"	"중국음식"	812
2013-08-02	"금"	"11"	"중국음식"	2990
2013-08-02	"금"	"12"	"중국음식"	4284
2013-08-02	"금"	"13"	"중국음식"	3466
2013-08-02	"금"	"14"	"중국음식"	2310
2013-08-02	"금"	"15"	"중국음식"	1766
2013-08-02	"금"	"16"	"중국음식"	1576
2013-08-02	"금"	"17"	"중국음식"	1914
2013-08-02	"금"	"18"	"중국음식"	2881
2013-08-02	"금"	"19"	"중국음식"	3116
2013-08-02	"금"	"20"	"중국음식"	1969
2013-08-02	"금"	"21"	"중국음식"	707
2013-08-02	"금"	"22"	"중국음식"	363
2013-08-02	"금"	"23"	"중국음식"	284
2013-08-02	"금"	"00"	"치킨"	964
2013-08-02	"금"	"01"	"치킨"	353
2013-08-02	"금"	"02"	"치킨"	110
2013-08-02	"금"	"03"	"치킨"	53
2013-08-02	"금"	"04"	"치킨"	30
2013-08-02	"금"	"05"	"치킨"	23
2013-08-02	"금"	"06"	"치킨"	11
2013-08-02	"금"	"09"	"치킨"	20
2013-08-02	"금"	"10"	"치킨"	39
2013-08-02	"금"	"11"	"치킨"	198
2013-08-02	"금"	"12"	"치킨"	514
2013-08-02	"금"	"13"	"치킨"	516
2013-08-02	"금"	"14"	"치킨"	569
2013-08-02	"금"	"15"	"치킨"	655
2013-08-02	"금"	"16"	"치킨"	904
2013-08-02	"금"	"17"	"치킨"	1437
2013-08-02	"금"	"18"	"치킨"	2559
2013-08-02	"금"	"19"	"치킨"	3572
2013-08-02	"금"	"20"	"치킨"	3679
2013-08-02	"금"	"21"	"치킨"	3632
2013-08-02	"금"	"22"	"치킨"	4630
2013-08-02	"금"	"23"	"치킨"	2989
2013-08-02	"금"	"00"	"피자전문"	59
2013-08-02	"금"	"01"	"피자전문"	25
2013-08-02	"금"	"02"	"피자전문"	17
2013-08-02	"금"	"03"	"피자전문"	17
2013-08-02	"금"	"04"	"피자전문"	10
2013-08-02	"금"	"05"	"피자전문"	9
2013-08-02	"금"	"06"	"피자전문"	9
2013-08-02	"금"	"09"	"피자전문"	30
2013-08-02	"금"	"10"	"피자전문"	128
2013-08-02	"금"	"11"	"피자전문"	370
2013-08-02	"금"	"12"	"피자전문"	492
2013-08-02	"금"	"13"	"피자전문"	418
2013-08-02	"금"	"14"	"피자전문"	434
2013-08-02	"금"	"15"	"피자전문"	463
2013-08-02	"금"	"16"	"피자전문"	459
2013-08-02	"금"	"17"	"피자전문"	611
2013-08-02	"금"	"18"	"피자전문"	900
2013-08-02	"금"	"19"	"피자전문"	1067
2013-08-02	"금"	"20"	"피자전문"	1000
2013-08-02	"금"	"21"	"피자전문"	771
2013-08-02	"금"	"22"	"피자전문"	594
2013-08-02	"금"	"23"	"피자전문"	208
2013-08-03	"토"	"00"	"족발/보쌈전문"	97
2013-08-03	"토"	"01"	"족발/보쌈전문"	69
2013-08-03	"토"	"02"	"족발/보쌈전문"	33
2013-08-03	"토"	"03"	"족발/보쌈전문"	22
2013-08-03	"토"	"04"	"족발/보쌈전문"	16
2013-08-03	"토"	"05"	"족발/보쌈전문"	6
2013-08-03	"토"	"09"	"족발/보쌈전문"	17
2013-08-03	"토"	"10"	"족발/보쌈전문"	39
2013-08-03	"토"	"11"	"족발/보쌈전문"	70
2013-08-03	"토"	"12"	"족발/보쌈전문"	117
2013-08-03	"토"	"13"	"족발/보쌈전문"	140
2013-08-03	"토"	"14"	"족발/보쌈전문"	109
2013-08-03	"토"	"15"	"족발/보쌈전문"	134
2013-08-03	"토"	"16"	"족발/보쌈전문"	142
2013-08-03	"토"	"17"	"족발/보쌈전문"	345
2013-08-03	"토"	"18"	"족발/보쌈전문"	562
